iter	Logloss
0	0.691094488
1	0.6890992306
2	0.6871292301
3	0.6851328014
4	0.6834531213
5	0.681404807
6	0.6791071221
7	0.6769744104
8	0.6749376907
9	0.6731939888
10	0.6714358592
11	0.6696626108
12	0.668290607
13	0.6665921382
14	0.664923034
15	0.6632759871
16	0.6613009354
17	0.6598102882
18	0.6581512762
19	0.6561624089
20	0.6544627366
21	0.6529020287
22	0.6513589295
23	0.6495748689
24	0.6480029887
25	0.6462387741
26	0.6445762134
27	0.6431036103
28	0.6415421919
29	0.6401456021
30	0.6386968896
31	0.6374481094
32	0.6358146834
33	0.634267366
34	0.6328367675
35	0.6316881013
36	0.6297436705
37	0.6285741909
38	0.6268866964
39	0.6257068496
40	0.6245287403
41	0.6234377768
42	0.6223550474
43	0.6212502935
44	0.6199710823
45	0.6183704371
46	0.6171510075
47	0.6159171454
48	0.6143345281
49	0.6131996864
50	0.6118554644
51	0.6103454652
52	0.6090605418
53	0.6076897611
54	0.6065339171
55	0.6060535
56	0.6048777713
57	0.6036488211
58	0.6023666602
59	0.6014148925
60	0.6001962772
61	0.5988664493
62	0.5979891377
63	0.5966587658
64	0.5956264262
65	0.5945862267
66	0.5937330899
67	0.5925608907
68	0.5915688179
69	0.5906605763
70	0.5896623431
71	0.5885540739
72	0.5873983693
73	0.5865330538
74	0.5855770879
75	0.5846964149
76	0.5841170936
77	0.5830815965
78	0.5816994644
79	0.5809490635
80	0.5798536887
81	0.578796032
82	0.5778650108
83	0.5770695699
84	0.5763570559
85	0.5755803923
86	0.5746625545
87	0.5739217578
88	0.5729710089
89	0.5719466984
90	0.5710788301
91	0.5703291736
92	0.5695996157
93	0.5690586389
94	0.5683587133
95	0.56771864
96	0.5664713421
97	0.5656642467
98	0.564757086
99	0.5638877436
100	0.5626751744
101	0.5618416166
102	0.5612806524
103	0.5604671297
104	0.5596693974
105	0.5589040041
106	0.5582355274
107	0.557241645
108	0.5561647924
109	0.5554496548
110	0.5545623613
111	0.5537997891
112	0.5531270977
113	0.5524473957
114	0.5518803668
115	0.5509254491
116	0.5504673374
117	0.5497909033
118	0.5489974132
119	0.548871383
120	0.5483868324
121	0.5477698447
122	0.5471204824
123	0.5463495481
124	0.5454909073
125	0.5445612638
126	0.5437384035
127	0.5428466093
128	0.5418657547
129	0.5413515332
130	0.5407471399
131	0.5398797124
132	0.5389623298
133	0.5383747342
134	0.5377226133
135	0.5368094477
136	0.5363494963
137	0.5356206136
138	0.5347282123
139	0.5341352781
140	0.5331492528
141	0.5321802278
142	0.5316673632
143	0.5312462348
144	0.5304752358
145	0.5300290349
146	0.5295702423
147	0.5290964682
148	0.5284965692
149	0.5279614978
150	0.5272765963
151	0.5264348003
152	0.5258051909
153	0.5250486345
154	0.524563834
155	0.5239810357
156	0.5235718796
157	0.5231370682
158	0.5226096479
159	0.5220506915
160	0.5215034825
161	0.5209127049
162	0.5203624756
163	0.5194691167
164	0.5188547201
165	0.5187269449
166	0.5179227106
167	0.5173861205
168	0.5166284606
169	0.5156549314
170	0.5151427645
171	0.5144369772
172	0.5140314552
173	0.5134432241
174	0.5129580546
175	0.5124949477
176	0.5118649381
177	0.5115891887
178	0.5111294111
179	0.5106424589
180	0.5098916838
181	0.5092949378
182	0.5085778521
183	0.5081338351
184	0.5078380854
185	0.507433601
186	0.5067900405
187	0.5063803191
188	0.5058068852
189	0.5056946425
190	0.5053659592
191	0.5047011467
192	0.5042128435
193	0.5037236046
194	0.503422442
195	0.5031000433
196	0.503015721
197	0.5026470129
198	0.5023276917
199	0.5018419819
200	0.50131895
201	0.5007584783
202	0.5002449374
203	0.4998899433
204	0.4993983166
205	0.4988348772
206	0.4983524857
207	0.4981011083
208	0.4974591632
209	0.4970352088
210	0.4966260448
211	0.4959980288
212	0.4955369015
213	0.4951620474
214	0.4946121567
215	0.4939643188
216	0.493507676
217	0.4929951867
218	0.4926340696
219	0.4921787439
220	0.4916414672
221	0.4909315733
222	0.4904553717
223	0.4898962717
224	0.4894610342
