iter	Passed	Remaining
0	11	11170
1	13	6700
2	14	4983
3	16	4163
4	18	3680
5	20	3360
6	21	3104
7	23	2908
8	25	2752
9	26	2638
10	28	2543
11	29	2457
12	31	2361
13	32	2304
14	34	2269
15	36	2234
16	38	2213
17	40	2190
18	41	2166
19	44	2160
20	46	2153
21	48	2141
22	50	2145
23	52	2141
24	54	2131
25	56	2120
26	58	2117
27	60	2110
28	63	2116
29	65	2121
30	67	2119
31	69	2111
32	71	2105
33	74	2105
34	76	2097
35	78	2089
36	80	2085
37	82	2084
38	84	2092
39	88	2132
40	91	2129
41	93	2122
42	95	2114
43	96	2105
44	98	2099
45	100	2093
46	102	2086
47	104	2080
48	106	2074
49	108	2064
50	110	2055
51	112	2048
52	114	2043
53	116	2046
54	119	2051
55	120	2030
56	122	2024
57	124	2017
58	126	2010
59	127	2004
60	129	1999
61	132	1999
62	134	1995
63	136	1989
64	137	1983
65	139	1977
66	141	1973
67	143	1968
68	145	1967
69	147	1963
70	149	1958
71	151	1955
72	153	1950
73	155	1944
74	157	1939
75	159	1934
76	161	1930
77	163	1930
78	165	1925
79	166	1919
80	168	1914
81	170	1909
82	172	1905
83	174	1900
84	176	1898
85	178	1894
86	180	1890
87	181	1885
88	183	1880
89	185	1876
90	187	1872
91	189	1871
92	191	1869
93	193	1867
94	196	1867
95	198	1865
96	200	1862
97	202	1859
98	203	1856
99	206	1856
100	208	1855
101	210	1854
102	212	1852
103	214	1851
104	216	1849
105	219	1851
106	221	1851
107	224	1853
108	226	1851
109	228	1850
110	230	1846
111	232	1842
112	234	1840
113	236	1838
114	238	1834
115	240	1833
116	242	1831
117	244	1828
118	246	1825
119	247	1816
120	249	1813
121	251	1810
122	253	1806
123	255	1803
124	257	1802
125	259	1799
126	261	1796
127	263	1792
128	264	1789
129	266	1786
130	268	1783
131	270	1780
132	272	1777
133	274	1775
134	276	1773
135	278	1770
136	280	1768
137	282	1765
138	284	1762
139	286	1760
140	288	1757
